id,bucket,frase,keep,notas
1,maestria,"Hagamos de finanzas el área más afilada del negocio.",,
2,maestria,"Convirtamos cada movimiento en una decisión.",,
3,maestria,"Sé el mejor en lo que haces. Yo me encargo del resto.",,
4,maestria,"El mejor equipo de finanzas de Venezuela empieza por aquí.",,
5,maestria,"Trabaja como el mejor CFO que conoces.",,
6,maestria,"Hoy, finanzas no es soporte. Es la palanca.",,
7,maestria,"Que tu equipo sea el que el negocio no puede dejar de tener.",,
8,maestria,"Vuelve a finanzas el mejor lugar para trabajar en la empresa.",,
9,maestria,"Donde otros ven planilla, tú ves estrategia.",,
10,maestria,"Sé el referente del cierre de mes.",,
11,maestria,"Que tu nombre aparezca cuando se hable de finanzas en LATAM.",,
12,maestria,"Haz del rigor tu sello.",,
13,maestria,"Lleva finanzas al nivel que el negocio merece.",,
14,maestria,"Hagamos un equipo de finanzas que dé qué hablar.",,
15,maestria,"El estándar lo pones tú.",,
16,tiempo,"Libera tu cabeza para lo que sí importa.",,
17,tiempo,"Menos planilla, más estrategia.",,
18,tiempo,"Cerremos el mes antes que nadie.",,
19,tiempo,"Que el trabajo manual no sea tu cuello de botella.",,
20,tiempo,"Ganemos las horas que se te están yendo en Excel.",,
21,tiempo,"Tú decides. Yo ejecuto.",,
22,tiempo,"Las tareas repetitivas no son tuyas.",,
23,tiempo,"Recupera tus tardes.",,
24,tiempo,"Que nadie en tu equipo vuelva a quemarse con conciliaciones.",,
25,tiempo,"Lo aburrido lo hago yo. Tú piensa.",,
26,tiempo,"Hoy es el día que dejas de hacer copy-paste.",,
27,tiempo,"Tu tiempo vale más que cuadrar planillas.",,
28,tiempo,"Saca a tu equipo del modo bombero.",,
29,tiempo,"Que el cierre del mes deje de robarte los fines de semana.",,
30,tiempo,"Vuelve el mes corto, no eterno.",,
31,control,"Tu caja, bajo control. ¿Empezamos?",,
32,control,"Que nada se te escape este mes.",,
33,control,"Cada bolívar en su sitio.",,
34,control,"Los números, listos antes de que te los pidan.",,
35,control,"Ningún movimiento sin explicar.",,
36,control,"Reconcilia ahora. Duerme tranquilo.",,
37,control,"Que el cierre te encuentre listo.",,
38,control,"Lo que ayer era un rompecabezas, hoy es una vista.",,
39,control,"Sin sorpresas en el reporte del lunes.",,
40,control,"Cada cuenta cuadrada. Cada factura en su sitio.",,
41,control,"Llega al directorio con todo en orden.",,
42,control,"Que la auditoría te encuentre sonriendo.",,
43,control,"Saca el caos de tu inbox.",,
44,control,"Visibilidad total. Cero adivinanzas.",,
45,control,"Tu caja no se mueve sin que tú lo sepas.",,
46,sparring,"¿Qué movemos hoy?",,
47,sparring,"Pensemos esto juntos.",,
48,sparring,"¿En qué te ayudo a brillar hoy?",,
49,sparring,"Estoy listo. ¿Por dónde arrancamos?",,
50,sparring,"Cuéntame qué te tiene atorado.",,
51,sparring,"Trabajemos como dos analistas, no como uno y un buscador.",,
52,sparring,"¿Qué te quita el sueño esta semana?",,
53,sparring,"Dime el problema. Vamos al siguiente.",,
54,sparring,"Aquí estoy. Donde sea, cuando sea.",,
55,sparring,"¿Empezamos por lo difícil o por lo rápido?",,
56,sparring,"Hablemos finanzas.",,
57,sparring,"Te toca a ti. Te leo.",,
58,sparring,"Pensemos como dueños del negocio.",,
59,sparring,"Vamos a sacar este mes.",,
60,sparring,"Hagamos esto bien hecho.",,
61,ambicion,"Hoy multiplicas por diez tu impacto.",,
62,ambicion,"Lo que ayer eran semanas, hoy son minutos.",,
63,ambicion,"Mueve la aguja del negocio desde finanzas.",,
64,ambicion,"Saca a tu equipo del overhead. Vuélvelo motor.",,
65,ambicion,"Que finanzas no te limite. Que te empuje.",,
66,ambicion,"Piensa en grande. Yo me encargo del detalle.",,
67,ambicion,"Es hora de jugar en otra liga.",,
68,ambicion,"Apunta al cierre más rápido que has hecho.",,
69,ambicion,"Esta semana le subes el listón a tu equipo.",,
70,ambicion,"Conviértete en el equipo de finanzas que todos quieren tener.",,
71,ambicion,"Hagamos historia con este cierre.",,
72,ambicion,"Diez veces más cobros. Mismo equipo.",,
73,ambicion,"No estás aquí para mantener. Estás aquí para escalar.",,
74,ambicion,"Finanzas también puede ser un acto creativo.",,
75,ambicion,"Hoy le toca a finanzas liderar.",,
76,velocidad,"Empecemos. El mes no espera.",,
77,velocidad,"Cinco minutos para lo que antes te tomaba horas.",,
78,velocidad,"Decide rápido. Yo te doy los números.",,
79,velocidad,"Vamos. Ya vas tarde.",,
80,velocidad,"Hoy avanzas. No mañana.",,
81,velocidad,"Saca la primera tarea del día. Vamos.",,
82,velocidad,"Mientras dudas, alguien ya cerró el suyo.",,
83,velocidad,"Tu próximo paso es uno solo. ¿Te lo enseño?",,
84,velocidad,"No empieces el día revisando el inbox. Empieza aquí.",,
85,velocidad,"Limpia tus pendientes antes del café.",,
86,carrera,"Hazte indispensable en menos de un mes.",,
87,carrera,"Que tu CFO te busque, no al revés.",,
88,carrera,"Conviértete en la persona que tu empresa nunca quiere perder.",,
89,carrera,"Pasa de hacer planilla a leer el negocio.",,
90,carrera,"Cada conciliación es una historia. Aprende a contarla.",,
91,carrera,"Hoy aprendes algo que no estaba en tu cargo.",,
92,carrera,"Entra como contador. Sal como estratega.",,
93,carrera,"Que cada cierre te enseñe algo nuevo.",,
94,carrera,"Tu próximo ascenso empieza con este botón.",,
95,carrera,"Domina lo que el resto del equipo no entiende.",,
96,reto,"Vamos por ese cierre imposible.",,
97,reto,"Atrévete a auditarlo todo.",,
98,reto,"Empieza por la cuenta que llevas días esquivando.",,
99,reto,"Mete mano donde nadie ha querido meter.",,
100,reto,"Hazle frente al mes. Ya.",,
