"#","Section","Topic","Question / Item to verify","Answer","Suggested Owner","Notes"
"1","§2.1 Onboarding","MSA template by entity","¿Existe variante de MSA con la C-corp Delaware como parte contratante? ¿O todos los clientes (incluyendo los que se facturan desde la C-corp) firman bajo el mismo template VE?","No — todos firman bajo el template VE.","Luis / Legal Ops",""
"2","§2.2.1 Mecanismo A — credentials","Distribución de patrones de credenciales","Porcentaje aproximado de clientes/cuentas en cada uno de los tres patrones (sub-usuario consulta nuevo / master / read-only preexistente). Idealmente desglosado por banco.","No tenemos la desagregación interna; los tres patrones coexisten. Pendiente de evaluar si es relevante para PTCK.","Product / Engineering",""
"3","§2.2.2 Mecanismo B — API oficial","Atribuciones del API por banco","Alcance de las atribuciones del API en cada banco que ofrece API oficial (¿solo consulta? ¿también acciones transaccionales?). BNC ya conocido — incluye atribuciones transaccionales.","Para Connect solamente se usan endpoints de lectura. Las atribuciones transaccionales del API de BNC son relevantes únicamente para Payments y se tratan en flujograma separado.","Engineering",""
"4","§2.2.2 Mecanismo B — API oficial","Bancos extranjeros con API oficial","Listado de bancos extranjeros (no-VE, no-US-Plaid) donde Tesote usa API oficial vs. scraping (Mecanismo A) o Plaid (Mecanismo C).","Ninguno. Mecanismo B aplica únicamente a BNC. Todos los demás bancos en VE y los bancos extranjeros no-US se conectan vía scraping (Mecanismo A). Bancos US vía Plaid (Mecanismo C).","Engineering / Product",""
"5","§2.2.3 Mecanismo C — Plaid","Distribución cuentas US Plaid vs. otro mecanismo","Porcentaje de clientes/cuentas en bancos de EEUU que están conectadas vía Plaid vs. cualquier otro mecanismo.","No tenemos la desagregación. Pendiente de evaluar si es relevante para PTCK.","Engineering / Product",""
"6","§2.2.3 Mecanismo C — Plaid","Plaid Developer Agreement — entidad firmante","¿Cuál entidad de Tesote firmó el Plaid Developer Agreement: C-corp Delaware o VE? + obligaciones materiales asumidas en el agreement (uso permitido de la data, retención, security standards).","C-corp Delaware (TESOTE TECHNOLOGIES INC.) firmó el Plaid Developer Agreement.","Luis / Legal Ops",""
"7","§2.2.3 Mecanismo C — Plaid","Plaid en jurisdicciones no-US","¿Tesote utiliza Plaid también para alguna jurisdicción no-US? Plaid soporta UK / EU / Canadá — confirmar si Tesote lo aprovecha.","No. Plaid se usa únicamente para bancos en EEUU.","Engineering",""
"8","§2.2.4 Captura / encriptación","Esquema de cifrado","Esquema de cifrado de credenciales/tokens en reposo: algoritmo (AES-256?), modo, gestión de llaves (KMS interno / AWS KMS / GCP KMS / HSM), rotación.","Pendiente — Linear ticket abierto, asignado a Dan.","Engineering","Ver también #19"
"9","§2.2.4 Captura / encriptación","Ubicación de infraestructura","Ubicación física de la infraestructura: proveedor cloud (AWS / GCP / Azure / otro) y región(es) específica(s).","Pendiente — incluido en el Linear ticket de Dan.","Engineering","Ver también #11"
"10","§2.3 Extracción periódica","Frecuencia de jobs","Frecuencia con la que corren los robots/jobs de extracción: diaria, cada N minutos, on-demand, otro.","Dos modos: (a) on-demand (24/7), o (b) scheduled — el cliente configura su propia cadencia.","Engineering",""
"11","§2.3 Extracción periódica","Ubicación física del DB","Ubicación física de la base de datos donde se almacena la data normalizada del cliente.","Pendiente — cloud provider; incluido en el Linear ticket de Dan.","Engineering","Ver también #9"
"12","§2.4 Acceso del cliente","Controles internos de acceso a data","Controles internos sobre quién en Tesote puede ver la data del cliente: separación de roles, MFA, logging auditable de accesos administrativos, principio de menor privilegio.","Sí, todos están en práctica: developers no tienen llaves de producción a las DBs principales; el equipo de soporte solo tiene acceso a la data estrictamente necesaria; 2FA obligatorio para acceder a sistemas internos.","Engineering","Ver también #20"
"13","§2.5 Revocación / offboarding","Política de retención post-terminación","Política exacta al terminar contrato: ¿se borra la data del cliente? ¿se anonimiza? ¿se conserva por X tiempo? Si se conserva — bajo qué obligación legal/fiscal y por cuánto tiempo.","Se borra la data del cliente.","Legal Ops / Engineering",""
